Index,Project Title,Abstract
10,Medical Data analysis using Deep Learning ,"With the wide application of computer technology, medical health data has also increased dramatically, and data-driven medical big data analysis methods have emerged as the times require, providing assistance for intelligent identification of medical health. However, due to the mixed medical big data format, many incomplete records, and a lot of noise, it is still difficult to analyze medical big data. Traditional machine learning methods can’t effectively mine the rich information contained in medical big data, while deep learning builds a hierarchical model by simulating the human brain. It has powerful automatic feature extraction, complex model construction and efficient feature expression, and more important. It is a deep learning method that extracts features from the bottom to the top level from the original medical image data. Therefore, this paper constructs a data analysis model based on deep learning for medical images and transcripts, and is used for intelligent identification and diagnosis of diseases. The model uses massive medical big data to select and optimize model parameters, and automatically learns the pathological analysis process of doctors or medical researchers through the model, and finally intelligently conducts disease judgment and effective decision based on the analysis results of medical big data. The experimental results show that the method can analyze the medical big data, and can realize the early diagnosis of the disease. At the same time, it can analyze the physical health status according to the patient’s physical examination records and predict the risk of a certain disease in the future"
11,Two Steps Security in ATM System by using IoT,"The increase of automated teller machine (ATM) frauds has actuated the development of new authentication mechanisms that can overcome the security problems associated with the personal identification numbers (PIN). The traditional PIN entry system has stood the test of time mainly because of its speed and memorability which are part of the metrics used to access the ATM authentication system. The third metric, which is security has often been compromised thence the need for a more secured authentication system for ATM operations. This paper therefore proposes an enhanced ATM security system using second level authentication process. The method adopted for this research is to develop an enhancement of the existing system by building an additional security mechanism on the existing system’s security mechanism. The proposed system was found to be realistic and cost effective when compared to other proposed authentication mechanism for ATM transactions."
12,Blood Bank Management,"In social media platforms, hate speech can be a reason of “cyber conflict” which can affectsocial life in both of individual-level and country-level. Hateful and antagonistic contentpropagated via social networks has the potential to cause harm and suffering on an individualbasis and lead to social tension and disorder beyond cyber space. However, social networkscannot control all the content that users post. For this reason, there is a demand for automaticdetection of hate speech. This demand particularly raises when the content is written in complexlanguages (e.g. Arabic). Arabic text is known with its challenges, complexity and scarcity of itsresources. This paper will present a background on hate speech and its related detectionapproaches. In addition, the recent contributions on hate speech and its related anti-socialbehaviour topics will be reviewed. Finally, challenges and recommendations for the Arabic hatespeech detection problem will be presented"
13,Hate Speech Detection,"A key challenge for automatic hate-speech detection on social media is the separation of hate speech from other instances of offensive language. Lexical detection methods tend to have low precision because they classify all messages containing particular terms as hate speech and previous work using supervised learning has failed to distinguish between the two categories. We used a crowd-sourced hate speech lexicon to collect tweets containing hate speech keywords. We use crowd-sourcing to label a sample of these tweets into three categories: those containing hate speech, only offensive language, and those with neither. We train a multi-class classifier to distinguish between these different categories. Close analysis of the predictions and the errors shows when we can reliably separate hate speech from other offensive language and when this differentiation is more difficult. We find that racist and homophobic tweets are more likely to be classified as hate speech but that sexist tweets are generally classified as offensive. Tweets without explicit hate keywords are also more difficult to classify."
14,Explainable AI for Intrusion Detection System,"Cybersecurity is a domain where the data distribution is constantly changing with attackers exploring newer patterns to attack cyber infrastructure. Intrusion detection system is one of the important layers in cyber safety in today's world. Machine learning based network intrusion detection systems started showing effective results in recent years. With deep learning models, detection rates of network intrusion detection system are improved. More accurate the model, more the complexity and hence less the interpretability. Deep neural networks are complex and hard to interpret which makes difficult to use them in production as reasons behind their decisions are unknown. In this paper, we have used deep neural network for network intrusion detection and also proposed explainable AI framework to add transparency at every stage of machine learning pipeline. This is done by leveraging Explainable AI algorithms which focus on making ML models less of black boxes by providing explanations as to why a prediction is made. Explanations give us measurable factors as to what features influence the prediction of a cyberattack and to what degree. These explanations are generated from SHAP, LIME, Contrastive Explanations Method, ProtoDash and Boolean Decision Rules via Column Generation. We apply these approaches to NSL KDD dataset for intrusion detection system and demonstrate results."
15,Waste Management System,"Several studies and researches have been conducted on the sources and characteristics of wastes as well as thepossible adverse effect of inappropriate handling and best international practices. One thing that is still not clearhowever is what exactly constitutes a waste? How much do we know about what should be classed as waste?What are the historical contexts of waste managements? The present paper seeks to examine these vital questionswith a view to providing answers from previous studies. The paper employed a desktop approach to provideanswers to the research objectives. Specifically, the paper uses a descriptive approach to gather information frompeer reviewed publications such as, journal articles, environmental organizations reports and books. It was foundthat, waste is to a large extent subjective in meaning as a substance can only be regarded as a waste when theowner labels it as such. This is particularly true because one individual may regard a substance as a waste, whileanother may view the same substance as a resource. Nevertheless, it was argued that there is a need to clearlydefine what constitute wastes as this form the basis for regulation"
16,Pneumonia detection using Deep Learning,"Artificial intelligence has found its use in various fields during the course of its development, especially in recent years with the enormous increase in available data. Its main task is to assist making better, faster and more reliable decisions. Artificial intelligence and machine learning are increasingly finding their application in medicine. This is especially true for medical fields that utilize various types of biomedical images and where diagnostic procedures rely on collecting and processing a large number of digital images. The application of machine learning in processing of medical images helps with consistency and boosts accuracy in reporting. This paper describes the use of machine learning algorithms to process chest X-ray images in order to support the decision-making process in determining the correct diagnosis. Specifically, the research is focused on the use of deep learning algorithm based on convolutional neural network in order to build a processing model. This model has the task to help with a classification problem that is detecting whether a chest X-ray shows changes consistent with pneumonia or not, and classifying the X-ray images in two groups depending on the detection results. Index Terms-artificial intelligence; convolutional neural network; deep learning; image processing, machine learning; pneumonia detection."
17,Phone Spy - The Parental control,"Android parental control applications are used by parents to monitor and limit their children’s mobile behaviour ( e.g., mobile apps usage, web browsing, calling, and texting). In order to offer this service, parental control apps require privileged access to system resources and access to sensitive data. This may significantly reduce the dangers associated with kids’ online activities, but it raises important privacy concerns. These concerns have so far been overlooked by organizations providing recommendations regarding the use of parental control applications to the public. We conduct the first in-depth study of the Android parental control app’s ecosystem from a privacy and regulatory point of view. We exhaustively study 46 apps from 43 developers which have a combined 20M installs in the Google Play Store. Using a combination of static and dynamic analysis we find that: these apps are on average more permissions-hungry than the top 150 apps in the Google Play Store, and tend to request more dangerous permissions with new releases; 11% of the apps transmit personal data in the clear; 34% of the apps gather and send personal information without appropriate consent; and 72% of the apps share data with third parties (including online advertising and analytics services) without mentioning their presence in their privacy policies. In summary, parental control applications lack transparency and lack compliance with regulatory requirements. This holds even for those applications recommended by European and other national security centers."
18,"iDoctor:A voice based 
Autonomous Prognosis System","IBM iDoctor for IBM i is a suite of performance tools that can be used by the performance expert or novice to collect, investigate and analyze performance.IBM analyzes your systems and provides a detailed report and review of our analysis along with recommendations to your technical lead."
19,Plant Species Classifiction using Leaf Morphology,"It is of vital importance as well as a great challenge to recognize plant species on the earth planet, from which human beings can benefit much. Thus it would be useful to design a convenient and effective image classification method to automatically classify different species. To reach this goal, in this paper we propose a new method to generate the feature space that combines local texture features using wavelet decomposition and co-occurrence matrix statistics and global shape features to describe the collected plant leaves."
20,Emotion based music player,Emotion based music player is a novel approach that helps the user to automatically play songs according to the emotions of the user. It recognizes the facial emotions of the user and plays the songs according to their emotion. The emotions are recognized using a machine learning method EMO algorithm.
21,Smart Marketing,"SMART marketing goals is a framework for successful goal setting. It stands for Specific, Measurable, Attainable, Realistic, Timely."
22,Virtual Tourist Guide,"VIRTUAL TOURIST GUIDE, aims to help the tourist to know more information about the visited place. Tourism is one of the important and fastest growing industries."
23,Intelligent Video Surveillance Analysis,"Intelligent Video (IV) is also referred to as Video Content Analysis (VCA) or Video Analytics (VA). It performs automatic analysis of your video surveillance stream and extracts useful information, such as the detection of an intruder in your images."
24,Kid's e-Wallet,"Teens and younger can use the wallet to purchase items online and in-store, as well as conduct peer-to-peer transfers. The wallet can be funded with cash or bank accounts, activities aimed at helping children to develop financial literacy in the digital economy."
25,Leaf Classifier and Identifier," Leaves, due to their volume, prevalence, and unique characteristics, are an effective means of differentiating plant species. They also provide a fun introduction to applying techniques that involve image-based features."
26,AI Powered CRM,"As a first step, try building a classifier that uses the provided pre-extracted features."
27,Healthcare System,"A health system, also known as health care system or healthcare system, is the organization of people, institutions, and resources that deliver health care services to meet the health needs of target populations."
28,AquaVision : Real Time Identification of Microbes in Fresh water using ML,The system combines the use of image processing and neural networks to detect an early presence of bacterial activity. We present here a proof of concept with some tests results. Our initial findings are very promising and indicate detection of viable bacterial cells within a period of 2 h. To the authors’ knowledge this is the first attempt to quantify viable bacterial cells in a water sample using cell splitting.
29, Medical Chatbot,"Medical chatbots are AI-powered conversational solutions that help patients, insurance companies, and healthcare providers easily connect with each other. These bots can also play a critical role in making relevant healthcare information accessible to the right stakeholders, at the right time."
30,Information Extraction from Medical Reports,"Electronic medical records (EMRs) are revolutionizing health-related research. One key issue for study quality is the accurate identification of patients with the condition of interest. Information in EMRs can be entered as structured codes or unstructured free text. The majority of research studies have used only coded parts of EMRs for case-detection, which may bias findings, miss cases, and reduce study quality. "
31,Secure file system ,"The Secure File System (SFS) provides transparent, end-to-end encryption support to users accessing files across any network. In this paper the architecture of the Secure File System is described."
32,Multi agent reinforcement learning and study of emergent behavior,"Interactive simulations with artificial groups or crowds offer a difficult control problem because the simulated people must exhibit very complex behaviors to be realistic. This complexity mainly depends on the simulated scenario and the size of the group being simulated. For instance, in many crowded scenarios, such us buildings, cities etc, artificial pedestrians must reflect intelligent path planning in very changing environments, as humans are constantly adjusting their speed to reflect congestion and other dynamic factors"
33,Third Man-The player performance indicator,"In a sport like football, in order for a team to be successful, each player must effectively undertake a specific role and a set of functions based on the position the play in on the field. Through a study carried out with 12 experts and 51 sport science students, they aimed to identify which are the most common performance indicators that should be evaluated in a player's performance based on their playing profile. "
35,ASK-L ( NLP Chatbot in Hindi/Marathi for banking purposes ),Chatbot acts like routing agent that can categorize user context in conversation. Chatbot helped with natural language processing (NLP) to analyze the request and extract some keyword information. In this system chatbot is designed according to query-based system in Marathi language (Indian Language). User asks the question to system; the system automatically replay all answer through chatbot
36,AI to build Architecture Floor Plan of buildings using GAN ,"This study aims to produce Andrea Palladio’s architectural plan schemes autonomously with generative adversarial networks(GAN), and to evaluate the plan drawing productions of GAN as a generative plan layout tool. GAN is a class of deep neural nets which is a generative model. In deep learning models, repetitive processes can be automated. Architectural drawing is a repetitive process in the act of architecture and plan drawing process can be made automated. For the automation of plan production system we used deep convolutional generative adversarial network (DCGAN) which is a subset of GAN models. And we evaluated the outputs of the DCGAN Palladian Plan scheme productions. Results show that not geometric similarities (shapes), but probabilistic models are at the centre of the generative system of GAN."
37,A Covid Tracker for the Medical Frontliners,Data for frontline healthcare workers (HCWs) and risk of SARS-CoV-2 infection are limited and whether personal protective equipment (PPE) mitigates this risk is unknown. We evaluated risk for COVID-19 among frontline HCWs compared to the general community and the influence of PPE.
39,market trend analysis for niche companies,"Essentials elements for a niche marketing strategy include segmentation, and positioning. The main purpose of the niche marketing is profitability, adherence to the marketing concept, relationship marketing practices, and building company reputation based on long term mutual benefit with its customers. Small firm must incorporate these ideas and become guerrilla marketers to compete successfully in markets dominated by much larger companies. To overcome these problems and potentially make effective use of niche marketing as a marketing strategy, the literature needs to advance a common definition, comprehensible elements, and most certainly common characteristics."
40,Face Mask Detection ,"Face Mask Detection Platform uses Artificial Network to recognize if a user is not wearing a mask.  The app can be connected to any existing or new IP mask detection cameras to detect people without a mask. App users can also add faces and phone numbers to send them an alert in case they are not wearing a mask. If the camera captures an unrecognized face, a notification can be sent out to the administrator."
41,drowsiness detection system,"The driver drowsiness detection is based on an algorithm, which begins recording the driver’s steering behavior the moment the trip begins. It then recognizes changes over the course of long trips, and thus also the driver’s level of fatigue. Typical signs of waning concentration are phases during which the driver is barely steering, combined with slight, yet quick and abrupt steering movements to keep the car on track."
